model_id,dataset,target_language,domain,n,chrf2,bleu,comet,number_recall,spurious_number_rate,source_number_fact_count,prediction_number_fact_count,matched_number_fact_count,spurious_number_fact_count,bleu_tokenizer,bleu_signature,chrf_signature
facebook/nllb-200-distilled-600M,ntrex128,guj_Gujr,news,25,48.0125,18.0972,,0.8235,0.125,17,16,14,2,intl,nrefs:1|case:mixed|eff:yes|tok:intl|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
facebook/nllb-200-distilled-600M,ntrex128,kat_Geor,news,25,47.0692,18.2385,,0.7647,0.1875,17,16,13,3,intl,nrefs:1|case:mixed|eff:yes|tok:intl|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
facebook/nllb-200-distilled-600M,ntrex128,tam_Taml,news,25,45.9723,11.6439,,0.8235,0.0667,17,15,14,1,intl,nrefs:1|case:mixed|eff:yes|tok:intl|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
facebook/nllb-200-distilled-600M,ntrex128,zho_Hans,news,25,22.769,29.6883,,0.7059,0.1429,17,14,12,2,zh,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
facebook/nllb-200-distilled-600M,tico19,zho_Hans,medical,25,34.6154,40.51,,0.9024,0.075,41,40,37,3,zh,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
facebook/nllb-200-distilled-600M,wmt24pp,zho_Hans,literary,15,12.1349,13.1454,,0.125,0.6667,8,3,1,2,zh,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
facebook/nllb-200-distilled-600M,wmt24pp,zho_Hans,social,15,28.1602,22.8247,,0.3333,0.0,6,2,2,0,zh,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
facebook/nllb-200-distilled-600M,wmt24pp,zho_Hans,speech,15,17.4603,23.4543,,0.8,0.1429,15,14,12,2,zh,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.5.1,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.5.1
